,date_block_num,branch_id,item_id,item_feature_id,item_price,item_cnt_month,month,year
0,0,1,1,1,1100,486,1,2022
1,0,1,2,1,670,591,1,2022
2,0,1,3,1,1720,573,1,2022
3,0,1,4,4,946,543,1,2022
4,0,1,5,3,990,569,1,2022
5,0,1,6,2,688,593,1,2022
6,0,1,7,4,1790,580,1,2022
7,0,1,8,1,950,543,1,2022
8,0,1,9,3,1400,563,1,2022
9,0,1,10,2,2099,518,1,2022
10,0,1,11,3,688,544,1,2022
11,0,1,12,2,670,566,1,2022
12,0,1,13,1,1050,506,1,2022
13,0,1,14,1,1050,570,1,2022
14,0,1,15,2,1470,573,1,2022
15,0,1,16,3,990,564,1,2022
16,0,1,17,1,3350,584,1,2022
17,0,1,18,4,2300,524,1,2022
18,0,1,19,1,2120,511,1,2022
19,0,1,20,1,2120,588,1,2022
20,0,1,21,1,925,562,1,2022
21,0,1,22,1,5600,585,1,2022
22,0,1,23,4,1720,533,1,2022
23,0,1,24,3,579,528,1,2022
24,0,1,25,2,903,582,1,2022
25,0,1,26,3,890,566,1,2022
26,0,1,27,3,990,564,1,2022
27,0,1,28,1,1055,539,1,2022
28,0,1,29,2,2064,554,1,2022
29,0,1,30,4,1200,544,1,2022
30,0,1,31,2,688,550,1,2022
50,0,2,1,1,1100,652,1,2022
51,0,2,2,1,670,724,1,2022
52,0,2,3,1,1720,756,1,2022
53,0,2,4,4,946,710,1,2022
54,0,2,5,3,990,674,1,2022
55,0,2,6,2,688,734,1,2022
56,0,2,7,4,1790,769,1,2022
57,0,2,8,1,950,727,1,2022
58,0,2,9,3,1400,719,1,2022
59,0,2,10,2,2099,705,1,2022
60,0,2,11,3,688,735,1,2022
61,0,2,12,2,670,653,1,2022
62,0,2,13,1,1050,703,1,2022
63,0,2,14,1,1050,657,1,2022
64,0,2,15,2,1470,695,1,2022
65,0,2,16,3,990,706,1,2022
66,0,2,17,1,3350,702,1,2022
67,0,2,18,4,2300,620,1,2022
68,0,2,19,1,2120,721,1,2022
69,0,2,20,1,2120,711,1,2022
70,0,2,21,1,925,706,1,2022
71,0,2,22,1,5600,721,1,2022
72,0,2,23,4,1720,742,1,2022
73,0,2,24,3,579,740,1,2022
74,0,2,25,2,903,682,1,2022
75,0,2,26,3,890,685,1,2022
76,0,2,27,3,990,657,1,2022
77,0,2,28,1,1055,716,1,2022
78,0,2,29,2,2064,670,1,2022
79,0,2,30,4,1200,786,1,2022
80,0,2,31,2,688,693,1,2022
100,0,3,1,1,1100,490,1,2022
101,0,3,2,1,670,511,1,2022
102,0,3,3,1,1720,477,1,2022
103,0,3,4,4,946,559,1,2022
104,0,3,5,3,990,513,1,2022
105,0,3,6,2,688,517,1,2022
106,0,3,7,4,1790,515,1,2022
107,0,3,8,1,950,497,1,2022
108,0,3,9,3,1400,471,1,2022
109,0,3,10,2,2099,533,1,2022
110,0,3,11,3,688,449,1,2022
111,0,3,12,2,670,511,1,2022
112,0,3,13,1,1050,498,1,2022
113,0,3,14,1,1050,471,1,2022
114,0,3,15,2,1470,451,1,2022
115,0,3,16,3,990,471,1,2022
116,0,3,17,1,3350,562,1,2022
117,0,3,18,4,2300,482,1,2022
118,0,3,19,1,2120,519,1,2022
119,0,3,20,1,2120,512,1,2022
120,0,3,21,1,925,508,1,2022
121,0,3,22,1,5600,557,1,2022
122,0,3,23,4,1720,521,1,2022
123,0,3,24,3,579,479,1,2022
124,0,3,25,2,903,516,1,2022
125,0,3,26,3,890,468,1,2022
126,0,3,27,3,990,497,1,2022
127,0,3,28,1,1055,536,1,2022
128,0,3,29,2,2064,510,1,2022
129,0,3,30,4,1200,609,1,2022
130,0,3,31,2,688,491,1,2022
150,0,4,1,1,1100,334,1,2022
151,0,4,2,1,670,302,1,2022
152,0,4,3,1,1720,352,1,2022
153,0,4,4,4,946,340,1,2022
154,0,4,5,3,990,357,1,2022
155,0,4,6,2,688,328,1,2022
156,0,4,7,4,1790,326,1,2022
157,0,4,8,1,950,391,1,2022
158,0,4,9,3,1400,334,1,2022
159,0,4,10,2,2099,338,1,2022
160,0,4,11,3,688,309,1,2022
161,0,4,12,2,670,331,1,2022
162,0,4,13,1,1050,384,1,2022
163,0,4,14,1,1050,308,1,2022
164,0,4,15,2,1470,337,1,2022
165,0,4,16,3,990,385,1,2022
166,0,4,17,1,3350,306,1,2022
167,0,4,18,4,2300,331,1,2022
168,0,4,19,1,2120,310,1,2022
169,0,4,20,1,2120,319,1,2022
170,0,4,21,1,925,355,1,2022
171,0,4,22,1,5600,347,1,2022
172,0,4,23,4,1720,318,1,2022
173,0,4,24,3,579,319,1,2022
174,0,4,25,2,903,361,1,2022
175,0,4,26,3,890,330,1,2022
176,0,4,27,3,990,334,1,2022
177,0,4,28,1,1055,322,1,2022
178,0,4,29,2,2064,304,1,2022
179,0,4,30,4,1200,343,1,2022
180,0,4,31,2,688,323,1,2022
200,0,5,1,1,1100,456,1,2022
201,0,5,2,1,670,446,1,2022
202,0,5,3,1,1720,442,1,2022
203,0,5,4,4,946,456,1,2022
204,0,5,5,3,990,431,1,2022
205,0,5,6,2,688,409,1,2022
206,0,5,7,4,1790,446,1,2022
207,0,5,8,1,950,415,1,2022
208,0,5,9,3,1400,457,1,2022
209,0,5,10,2,2099,441,1,2022
210,0,5,11,3,688,427,1,2022
211,0,5,12,2,670,473,1,2022
212,0,5,13,1,1050,460,1,2022
213,0,5,14,1,1050,424,1,2022
214,0,5,15,2,1470,448,1,2022
215,0,5,16,3,990,431,1,2022
216,0,5,17,1,3350,452,1,2022
217,0,5,18,4,2300,438,1,2022
218,0,5,19,1,2120,473,1,2022
219,0,5,20,1,2120,472,1,2022
220,0,5,21,1,925,382,1,2022
221,0,5,22,1,5600,440,1,2022
222,0,5,23,4,1720,428,1,2022
223,0,5,24,3,579,432,1,2022
224,0,5,25,2,903,443,1,2022
225,0,5,26,3,890,414,1,2022
226,0,5,27,3,990,489,1,2022
227,0,5,28,1,1055,454,1,2022
228,0,5,29,2,2064,411,1,2022
229,0,5,30,4,1200,418,1,2022
230,0,5,31,2,688,430,1,2022
250,0,27,1,1,1100,133,1,2022
251,0,27,2,1,670,91,1,2022
252,0,27,3,1,1720,117,1,2022
253,0,27,4,4,946,118,1,2022
254,0,27,5,3,990,118,1,2022
255,0,27,6,2,688,106,1,2022
256,0,27,7,4,1790,93,1,2022
257,0,27,8,1,950,100,1,2022
258,0,27,9,3,1400,92,1,2022
259,0,27,10,2,2099,131,1,2022
260,0,27,11,3,688,118,1,2022
261,0,27,12,2,670,114,1,2022
262,0,27,13,1,1050,133,1,2022
263,0,27,14,1,1050,138,1,2022
264,0,27,15,2,1470,118,1,2022
265,0,27,16,3,990,112,1,2022
266,0,27,17,1,3350,111,1,2022
267,0,27,18,4,2300,114,1,2022
268,0,27,19,1,2120,117,1,2022
269,0,27,20,1,2120,103,1,2022
270,0,27,21,1,925,105,1,2022
271,0,27,22,1,5600,116,1,2022
272,0,27,23,4,1720,108,1,2022
273,0,27,24,3,579,99,1,2022
274,0,27,25,2,903,96,1,2022
275,0,27,26,3,890,114,1,2022
276,0,27,27,3,990,110,1,2022
277,0,27,28,1,1055,123,1,2022
278,0,27,29,2,2064,104,1,2022
279,0,27,30,4,1200,128,1,2022
280,0,27,31,2,688,113,1,2022
300,1,1,1,1,1100,578,2,2022
301,1,1,2,1,670,623,2,2022
302,1,1,3,1,1720,543,2,2022
303,1,1,4,4,946,576,2,2022
304,1,1,5,3,990,579,2,2022
305,1,1,6,2,688,615,2,2022
306,1,1,7,4,1790,565,2,2022
307,1,1,8,1,950,510,2,2022
308,1,1,9,3,1400,612,2,2022
309,1,1,10,2,2099,540,2,2022
310,1,1,11,3,688,579,2,2022
311,1,1,12,2,670,591,2,2022
312,1,1,13,1,1050,557,2,2022
313,1,1,14,1,1050,536,2,2022
314,1,1,15,2,1470,582,2,2022
315,1,1,16,3,990,561,2,2022
316,1,1,17,1,3350,547,2,2022
317,1,1,18,4,2300,554,2,2022
318,1,1,19,1,2120,533,2,2022
319,1,1,20,1,2120,532,2,2022
320,1,1,21,1,925,579,2,2022
321,1,1,22,1,5600,535,2,2022
322,1,1,23,4,1720,607,2,2022
323,1,1,24,3,579,582,2,2022
324,1,1,25,2,903,555,2,2022
325,1,1,26,3,890,563,2,2022
326,1,1,27,3,990,637,2,2022
327,1,1,28,1,1055,536,2,2022
328,1,1,29,2,2064,517,2,2022
329,1,1,30,4,1200,553,2,2022
330,1,1,31,2,688,585,2,2022
350,1,2,1,1,1100,714,2,2022
351,1,2,2,1,670,694,2,2022
352,1,2,3,1,1720,688,2,2022
353,1,2,4,4,946,735,2,2022
354,1,2,5,3,990,718,2,2022
355,1,2,6,2,688,717,2,2022
356,1,2,7,4,1790,661,2,2022
357,1,2,8,1,950,707,2,2022
358,1,2,9,3,1400,771,2,2022
359,1,2,10,2,2099,719,2,2022
360,1,2,11,3,688,674,2,2022
361,1,2,12,2,670,743,2,2022
362,1,2,13,1,1050,673,2,2022
363,1,2,14,1,1050,783,2,2022
364,1,2,15,2,1470,656,2,2022
365,1,2,16,3,990,705,2,2022
366,1,2,17,1,3350,654,2,2022
367,1,2,18,4,2300,725,2,2022
368,1,2,19,1,2120,654,2,2022
369,1,2,20,1,2120,646,2,2022
370,1,2,21,1,925,699,2,2022
371,1,2,22,1,5600,640,2,2022
372,1,2,23,4,1720,731,2,2022
373,1,2,24,3,579,700,2,2022
374,1,2,25,2,903,741,2,2022
375,1,2,26,3,890,657,2,2022
376,1,2,27,3,990,680,2,2022
377,1,2,28,1,1055,661,2,2022
378,1,2,29,2,2064,819,2,2022
379,1,2,30,4,1200,698,2,2022
380,1,2,31,2,688,726,2,2022
400,1,3,1,1,1100,464,2,2022
401,1,3,2,1,670,441,2,2022
402,1,3,3,1,1720,486,2,2022
403,1,3,4,4,946,475,2,2022
404,1,3,5,3,990,480,2,2022
405,1,3,6,2,688,465,2,2022
406,1,3,7,4,1790,470,2,2022
407,1,3,8,1,950,495,2,2022
408,1,3,9,3,1400,466,2,2022
409,1,3,10,2,2099,497,2,2022
410,1,3,11,3,688,422,2,2022
411,1,3,12,2,670,449,2,2022
412,1,3,13,1,1050,493,2,2022
413,1,3,14,1,1050,384,2,2022
414,1,3,15,2,1470,424,2,2022
415,1,3,16,3,990,501,2,2022
416,1,3,17,1,3350,462,2,2022
417,1,3,18,4,2300,506,2,2022
418,1,3,19,1,2120,445,2,2022
419,1,3,20,1,2120,469,2,2022
420,1,3,21,1,925,507,2,2022
421,1,3,22,1,5600,441,2,2022
422,1,3,23,4,1720,535,2,2022
423,1,3,24,3,579,419,2,2022
424,1,3,25,2,903,443,2,2022
425,1,3,26,3,890,469,2,2022
426,1,3,27,3,990,457,2,2022
427,1,3,28,1,1055,465,2,2022
428,1,3,29,2,2064,507,2,2022
429,1,3,30,4,1200,445,2,2022
430,1,3,31,2,688,461,2,2022
450,1,4,1,1,1100,322,2,2022
451,1,4,2,1,670,310,2,2022
452,1,4,3,1,1720,290,2,2022
453,1,4,4,4,946,330,2,2022
454,1,4,5,3,990,307,2,2022
455,1,4,6,2,688,320,2,2022
456,1,4,7,4,1790,309,2,2022
457,1,4,8,1,950,360,2,2022
458,1,4,9,3,1400,354,2,2022
459,1,4,10,2,2099,335,2,2022
